,school_id,ad,connections,firm,high_school,no_response,school,firm_size_gap
count,181.0,34.0,169.0,11.0,5.0,56.0,174.0,165.0
mean,685.7237569060774,95.00448179271707,144.44199055660295,112.88311688311688,7.8,216.05275000097672,255.91239839279456,113.31261384814641
std,381.9399762895074,238.54720095113362,204.68322210049828,296.33709995359237,7.120393247567159,360.61825052551137,213.62586013450073,203.1878648816443
min,101.0,1.0,1.0,1.0,3.0,1.0,2.0,-647.409090909091
25%,305.0,7.25,17.90909090909091,3.5,3.0,10.857142857142858,75.9375,3.8989898989899245
50%,721.0,15.25,68.45238095238095,10.0,5.0,50.0,202.73809523809524,88.57142857142856
75%,1013.0,42.92857142857143,193.0,41.85714285714286,8.0,282.5625,386.9081081081081,217.8806818181818
max,1312.0,1002.0,1076.642857142857,1000.0,20.0,1845.5882352941176,1000.0,922.421052631579
