,school_id,ad,connections,firm,high_school,no_response,school
count,181.0,34.0,169.0,11.0,5.0,56.0,174.0
mean,685.7237569060774,3485.819327731092,3093.5981438980098,2641.5584415584417,3900.0,3561.1880663295965,3639.522649811246
std,381.9399762895074,1185.5714753024536,920.680889232817,1727.4666427619632,961.7692030835673,1116.7355574900535,979.5675472373721
min,101.0,1000.0,1173.5294117647059,500.0,2500.0,1000.0,300.0
25%,305.0,2756.25,2404.3478260869565,1000.0,3500.0,3000.0,3000.0
50%,721.0,3500.0,3075.0,2457.1428571428573,4000.0,3546.4285714285716,3730.480072463768
75%,1013.0,4000.0,3727.2727272727275,4050.0,4500.0,4378.125,4337.5
max,1312.0,6500.0,5375.0,5000.0,5000.0,6000.0,6500.0
