,school_id,female_channel_agg_ad,male_channel_agg_ad,female_channel_agg_connections,male_channel_agg_connections,female_channel_agg_firm,male_channel_agg_firm,female_channel_agg_high_school,male_channel_agg_high_school,female_channel_agg_no_response,male_channel_agg_no_response,female_channel_agg_school,male_channel_agg_school,female_employed,male_employed,female_channel_agg_ad_share,female_channel_agg_connections_share,female_channel_agg_firm_share,female_channel_agg_high_school_share,female_channel_agg_no_response_share,female_channel_agg_school_share,male_channel_agg_ad_share,male_channel_agg_connections_share,male_channel_agg_firm_share,male_channel_agg_high_school_share,male_channel_agg_no_response_share,male_channel_agg_school_share,total_channel_agg_ad,total_channel_agg_connections,total_channel_agg_firm,total_channel_agg_high_school,total_channel_agg_no_response,total_channel_agg_school,total_employed,total_channel_agg_ad_share,total_channel_agg_connections_share,total_channel_agg_firm_share,total_channel_agg_high_school_share,total_channel_agg_no_response_share,total_channel_agg_school_share
count,188.0,187.0,188.0,187.0,188.0,187.0,188.0,187.0,188.0,187.0,188.0,187.0,188.0,187.0,188.0,187.0,187.0,187.0,187.0,187.0,187.0,188.0,188.0,188.0,188.0,188.0,188.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
mean,680.4787234042553,0.39572192513368987,0.6436170212765957,10.331550802139038,14.351063829787234,0.06417112299465241,0.06914893617021277,0.016042780748663103,0.03723404255319149,2.620320855614973,3.2925531914893615,17.71657754010695,20.324468085106382,31.144385026737968,38.71808510638298,0.012306751169068767,0.37239415844948104,0.002853419532232205,0.000739456621809563,0.11928595320369645,0.49242026102371234,0.01430678287089794,0.4211421784513272,0.0022182199105236335,0.0009258674291849194,0.10390360884034067,0.4575033424977257,1.0427807486631016,24.732620320855617,0.13368983957219252,0.053475935828877004,5.93048128342246,38.13903743315508,70.03208556149733,0.01364944042449546,0.39250265261555356,0.002366380690239802,0.0008356145699201865,0.11342268122659349,0.4772232304731974
std,379.4493541687879,1.580656896145997,3.3758519149998616,11.771901083043652,14.104429043683771,0.4226767399248072,0.5477277507387616,0.12597729053230286,0.2161817627757534,6.102195436382713,7.758007618996437,21.97358857072295,23.68252672136286,27.9574466972478,31.957864849287706,0.04568033814701023,0.2635433368562984,0.017390181525827657,0.006407818698442845,0.266795118988193,0.28803557974260946,0.0514386552881996,0.254049241650362,0.01570039279976013,0.005822639792951301,0.2342326636118494,0.2650511855001396,4.749452574007419,24.772798885115513,0.8087483825604,0.2690608981084401,12.755369153428667,44.7786902699743,58.9182871134229,0.04130148384907464,0.23055729314216625,0.012323633580143888,0.004995217176497209,0.23376591440976624,0.251723208458077
min,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,305.75,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,11.0,16.0,0.0,0.19550561797752808,0.0,0.0,0.0,0.2761904761904762,0.0,0.22547743055555555,0.0,0.0,0.0,0.2712121212121212,0.0,8.0,0.0,0.0,0.0,10.0,29.0,0.0,0.22402597402597402,0.0,0.0,0.0,0.3003220611916264
50%,712.5,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,20.0,28.5,0.0,0.34615384615384615,0.0,0.0,0.0,0.5454545454545454,0.0,0.41522988505747127,0.0,0.0,0.0,0.4599147121535181,0.0,18.0,0.0,0.0,0.0,19.0,47.0,0.0,0.37333333333333335,0.0,0.0,0.0,0.4854368932038835
75%,1012.25,0.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,30.25,44.0,54.5,0.0,0.5116531165311653,0.0,0.0,0.0672316384180791,0.6978260869565217,0.0,0.6217672413793104,0.0,0.0,0.05926916221033868,0.6517857142857143,0.0,30.0,0.0,0.0,5.0,55.5,98.5,0.0,0.5563492063492064,0.0,0.0,0.08800773694390715,0.6613333333333333
max,1312.0,14.0,39.0,82.0,91.0,5.0,7.0,1.0,2.0,34.0,43.0,138.0,144.0,149.0,144.0,0.4444444444444444,1.0,0.16666666666666666,0.07142857142857142,1.0,1.0,0.38095238095238093,1.0,0.1794871794871795,0.05555555555555555,1.0,1.0,51.0,148.0,8.0,2.0,75.0,282.0,285.0,0.2537313432835821,0.9615384615384616,0.1038961038961039,0.046511627906976744,1.0,1.0
