,agey,area12y_hokkaido,area12y_aomori,area12y_iwate,area12y_miyagi,area12y_akita,area12y_yamagata,area12y_fukushima,area12y_ibaraki,area12y_tochigi,area12y_gumma,area12y_saitama,area12y_chiba,area12y_tokyo,area12y_kanagawa,area12y_niigata,area12y_toyama,area12y_ishikawa,area12y_fukui,area12y_yamanashi,area12y_nagano,area12y_gifu,area12y_shizuoka,area12y_aichi,area12y_mie,area12y_shiga,area12y_kyoto,area12y_osaka,area12y_hyogo,area12y_nara,area12y_wakayama,area12y_tottori,area12y_shimane,area12y_okayama,area12y_hiroshima,area12y_yamaguchi,area12y_tokushima,area12y_kagawa,area12y_ehime,area12y_kouchi,area12y_fukuoka,area12y_saga,area12y_nagasaki,area12y_kumamoto,area12y_ooita,area12y_miyazaki,area12y_kagoshima,area12y_okinawa
13,28,0.00992063492063492,0.001984126984126984,0.007936507936507936,0.03968253968253968,0.00992063492063492,0.031746031746031744,0.06547619047619048,0.03571428571428571,0.037698412698412696,0.03571428571428571,0.03571428571428571,0.027777777777777776,0.14484126984126985,0.3055555555555556,0.047619047619047616,0.007936507936507936,0.001984126984126984,0.0,0.017857142857142856,0.017857142857142856,0.001984126984126984,0.013888888888888888,0.001984126984126984,0.003968253968253968,0.0,0.0,0.0,0.005952380952380952,0.0,0.001984126984126984,0.001984126984126984,0.003968253968253968,0.0,0.007936507936507936,0.0,0.0,0.0,0.001984126984126984,0.001984126984126984,0.003968253968253968,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.0,0.005952380952380952,0.0
14,29,0.004228329809725159,0.006342494714587738,0.004228329809725159,0.03382663847780127,0.008456659619450317,0.023255813953488372,0.052854122621564484,0.02536997885835095,0.03805496828752643,0.040169133192389,0.02536997885835095,0.02536997885835095,0.1416490486257928,0.35095137420718814,0.05708245243128964,0.0,0.0021141649048625794,0.0021141649048625794,0.016913319238900635,0.014799154334038054,0.0,0.019027484143763214,0.004228329809725159,0.0,0.0,0.0021141649048625794,0.008456659619450317,0.0021141649048625794,0.0,0.004228329809725159,0.0021141649048625794,0.0,0.004228329809725159,0.0,0.0,0.0021141649048625794,0.0,0.0021141649048625794,0.0021141649048625794,0.006342494714587738,0.004228329809725159,0.0,0.0,0.0,0.0,0.012684989429175475,0.0
15,30,0.015873015873015872,0.001984126984126984,0.003968253968253968,0.03571428571428571,0.021825396825396824,0.03571428571428571,0.06547619047619048,0.02976190476190476,0.0496031746031746,0.027777777777777776,0.025793650793650792,0.03373015873015873,0.16666666666666666,0.27380952380952384,0.051587301587301584,0.007936507936507936,0.001984126984126984,0.0,0.007936507936507936,0.023809523809523808,0.0,0.031746031746031744,0.003968253968253968,0.003968253968253968,0.003968253968253968,0.003968253968253968,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.003968253968253968,0.001984126984126984,0.001984126984126984,0.0,0.001984126984126984,0.001984126984126984,0.003968253968253968,0.001984126984126984,0.00992063492063492,0.0
16,31,0.022494887525562373,0.010224948875255624,0.012269938650306749,0.026584867075664622,0.010224948875255624,0.03885480572597137,0.0408997955010225,0.034764826175869123,0.04294478527607362,0.05930470347648262,0.024539877300613498,0.026584867075664622,0.1492842535787321,0.2903885480572597,0.06748466257668712,0.00408997955010225,0.00408997955010225,0.0,0.022494887525562373,0.0081799591002045,0.0,0.018404907975460124,0.006134969325153374,0.006134969325153374,0.0,0.0,0.002044989775051125,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.0,0.00408997955010225,0.00408997955010225,0.00408997955010225,0.002044989775051125,0.0,0.002044989775051125,0.0,0.00408997955010225,0.002044989775051125,0.0,0.0,0.0081799591002045,0.00408997955010225
17,32,0.010917030567685589,0.004366812227074236,0.015283842794759825,0.028384279475982533,0.013100436681222707,0.028384279475982533,0.05895196506550218,0.028384279475982533,0.03056768558951965,0.039301310043668124,0.026200873362445413,0.015283842794759825,0.1812227074235808,0.314410480349345,0.05021834061135371,0.008733624454148471,0.0,0.004366812227074236,0.010917030567685589,0.017467248908296942,0.002183406113537118,0.021834061135371178,0.002183406113537118,0.004366812227074236,0.0,0.0,0.002183406113537118,0.013100436681222707,0.0,0.002183406113537118,0.0,0.0,0.0,0.002183406113537118,0.004366812227074236,0.002183406113537118,0.0,0.004366812227074236,0.0,0.008733624454148471,0.002183406113537118,0.004366812227074236,0.002183406113537118,0.0,0.0,0.004366812227074236,0.0
18,33,0.02040816326530612,0.0,0.017857142857142856,0.03316326530612245,0.02040816326530612,0.04336734693877551,0.02806122448979592,0.02806122448979592,0.04591836734693878,0.05102040816326531,0.01020408163265306,0.030612244897959183,0.1683673469387755,0.29846938775510207,0.05102040816326531,0.002551020408163265,0.0,0.0,0.002551020408163265,0.025510204081632654,0.0,0.025510204081632654,0.00510204081632653,0.00510204081632653,0.0,0.002551020408163265,0.002551020408163265,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.002551020408163265,0.002551020408163265,0.0,0.00510204081632653,0.002551020408163265,0.0,0.002551020408163265,0.0,0.002551020408163265,0.002551020408163265,0.00510204081632653,0.002551020408163265,0.0,0.007653061224489796
19,34,0.012254901960784314,0.0024509803921568627,0.012254901960784314,0.029411764705882353,0.024509803921568627,0.0196078431372549,0.056372549019607844,0.04656862745098039,0.029411764705882353,0.031862745098039214,0.04411764705882353,0.03431372549019608,0.1323529411764706,0.27205882352941174,0.049019607843137254,0.007352941176470588,0.004901960784313725,0.0024509803921568627,0.022058823529411766,0.0196078431372549,0.0024509803921568627,0.02696078431372549,0.00980392156862745,0.0,0.0,0.0,0.0024509803921568627,0.004901960784313725,0.0,0.0,0.0,0.0024509803921568627,0.0024509803921568627,0.00980392156862745,0.0024509803921568627,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0024509803921568627,0.012254901960784314,0.0,0.0,0.0,0.0,0.0024509803921568627
20,35,0.0225,0.0075,0.01,0.035,0.01,0.0525,0.045,0.04,0.0525,0.0275,0.025,0.05,0.1175,0.25,0.0675,0.005,0.0,0.0025,0.0225,0.0275,0.0,0.03,0.005,0.0,0.0025,0.0,0.01,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0,0.0025,0.005,0.0,0.015,0.0,0.0025,0.0025,0.0025,0.0025,0.005,0.0
21,36,0.015765765765765764,0.009009009009009009,0.009009009009009009,0.04954954954954955,0.015765765765765764,0.033783783783783786,0.05855855855855856,0.038288288288288286,0.05405405405405406,0.04954954954954955,0.018018018018018018,0.033783783783783786,0.10810810810810811,0.24774774774774774,0.08783783783783784,0.006756756756756757,0.0045045045045045045,0.0022522522522522522,0.015765765765765764,0.02252252252252252,0.0022522522522522522,0.03153153153153153,0.0022522522522522522,0.0,0.0022522522522522522,0.0045045045045045045,0.0022522522522522522,0.0045045045045045045,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0045045045045045045,0.0,0.0,0.0022522522522522522,0.0,0.0,0.009009009009009009,0.0022522522522522522,0.0,0.0022522522522522522,0.0022522522522522522,0.0022522522522522522,0.0022522522522522522,0.0045045045045045045
22,37,0.011389521640091117,0.018223234624145785,0.009111617312072893,0.0387243735763098,0.011389521640091117,0.03644646924829157,0.04328018223234624,0.04100227790432802,0.04328018223234624,0.0387243735763098,0.04100227790432802,0.04100227790432802,0.10478359908883828,0.2642369020501139,0.05011389521640091,0.009111617312072893,0.002277904328018223,0.002277904328018223,0.022779043280182234,0.029612756264236904,0.002277904328018223,0.04328018223234624,0.0,0.00683371298405467,0.0,0.0,0.002277904328018223,0.004555808656036446,0.0,0.0,0.0,0.004555808656036446,0.0,0.004555808656036446,0.002277904328018223,0.00683371298405467,0.0,0.002277904328018223,0.0,0.002277904328018223,0.004555808656036446,0.002277904328018223,0.00683371298405467,0.0,0.0,0.011389521640091117,0.0
